sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,Oxygen Diss,Temp Water,pH,ln Turd,ln Cond,ln Coliform
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-08-05T11:45:00,10.6,23.4,9.05,0.741937345,7.121252453,5.298317367
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-08-05T11:28:00,10.4,22.8,9.03,0.587786665,7.122866659,5.560681631
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-08-05T11:11:00,10.1,22.2,9.16,0,7.138867,4.49980967
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-08-05T10:55:00,8.78,18,8.17,0.587786665,7.337587744,5.886104031
SW-70811815,COMBE STREAM AT SALCOMBE SOUTH SANDS,2024-08-01T15:10:00,9.32,18,8.63,2.272125886,6.363028104,6.697034248
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-07-31T12:01:00,11.2,24.7,9.12,0.78845736,7.03438793,5.075173815
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-07-31T11:28:00,10.7,22.5,8.74,0.09531018,7.35372233,4.59511985
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-07-31T11:02:00,8.22,19.9,7.76,1.840549633,7.322510434,6.733401892
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-07-31T10:31:00,11.4,23.7,9.18,0.530628251,7.117205503,4.787491743
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-07-31T09:56:00,13.8,23.9,9.28,0.832909123,7.138867,6.01615716
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-07-24T10:29:00,9.94,22.5,9.1,0.587786665,7.100027167,5.298317367
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-07-18T12:25:00,11.8,21.8,9.23,0.587786665,7.088408779,5.521460918
SW-82610110,TREBARWITH STREAM U/S BEACH CAR PARK,2024-07-17T12:30:00,8.84,14.74,7.69,1.193922468,5.693732139,9.546812609
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-07-10T10:33:00,8.47,18.9,8.99,0.832909123,7.077498054,5.703782475
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-07-02T10:31:00,11.1,19.2,9.37,1.360976553,7.094234846,2.302585093
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-06-28T09:01:00,12.8,21,9.19,0.875468737,7.092573716,4.158883083
SW-73015012,SAUNTON SANDS (34100),2024-06-25T10:43:00,8.33,17.5,7.59,2.708050201,6.940222469,2.302585093
SW-E8900500,BERROW N OF UNITY FM (35500),2024-06-25T10:02:00,9.59,18.7,7.43,0,6.728628613,2.302585093
NW-88003872,RIVER WYRE AT ST MICHAELS,2024-06-21T10:20:00,9.11,15.9,7.6,1.30833282,5.356586275,6.380122537
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-06-20T11:01:00,13.1,19.7,9.17,0.470003629,7.063048163,4.406719247
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-06-11T11:25:00,11.6,16.5,9.05,0.470003629,7.056175284,2.302585093
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-06-05T13:19:00,13,18.1,9.08,0.182321557,7.03438793,4.158883083
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-05-30T10:56:00,10.5,17.7,9.13,1.16315081,7.023758955,4.700480366
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-05-25T14:29:00,14.9,19.9,9.17,0.78845736,7.010311867,4.276666119
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-05-25T14:01:00,13.2,21.4,8.92,0.405465108,7.13009851,4.143134726
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-05-25T13:20:00,9.29,17.9,8.4,0.405465108,7.301147806,4.394449155
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-05-17T12:34:00,15,21.2,9.19,1.30833282,7.110696123,4.276666119
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-05-17T12:07:00,9.04,16.7,8.07,1.280933845,7.292337176,6.01615716
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-05-17T11:53:00,13.9,20.2,9.09,0.336472237,7.03966035,4.394449155
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-05-17T10:46:00,12.5,19.6,9.06,0,7.021083964,3.295836866
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-05-17T10:24:00,11.8,19.5,9.06,0.09531018,7.01571242,4.276666119
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-05-07T11:42:00,12.9,16.1,8.96,0.09531018,7.010311867,3.583518938
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-05-07T11:19:00,11.9,17,8.96,1.386294361,7.206377291,3.988984047
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-05-07T11:10:00,9.87,15.2,8.36,0,7.303843225,2.890371758
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-05-07T10:25:00,12.6,16,8.92,0,7.012115294,5.247024072
SW-81939999,MISCELLANEOUS FAL (WEST AREA),2024-04-26T11:45:00,13.1,10.6,7.87,1.481604541,6.033086222,6.461468176
SW-50039999,MISCELLANEOUS POOL-WEYMOUTH CATCHMENT,2024-04-10T12:20:00,9.69,10.4,7.77,0,6.81563999,5.298317367
NW-88003872,RIVER WYRE AT ST MICHAELS,2024-03-08T10:37:00,11.8,6.6,7.85,1.526056303,5.537334267,5.828945618
NW-88003872,RIVER WYRE AT ST MICHAELS,2024-02-07T10:55:00,11.6,5.9,7.55,2.186051277,5.375278408,6.646390515
SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,2023-12-19T10:29:00,10.9,10.8,7.25,3.737669618,5.135798437,8.318742253
NE-49000137,ESK AT RUSWARP - BANKSIDE,2023-12-14T13:36:00,12.4,5.6,7.86,2.833213344,5.003946306,6.040254711
SW-50590127,RIVER FROME AT HOLME BRIDGE,2023-12-14T13:35:00,11.9,7.7,8.25,0.875468737,6.267200549,5.347107531
SW-50450129,RIVER PIDDLE AT WEST MILLS,2023-12-14T12:32:00,11.5,7.4,8.18,0.693147181,6.329720906,4.59511985
NW-88004530,RIVER BRATHAY AT CLAPPERSGATE,2023-12-13T13:46:00,11.3,7.3,6.57,0.832909123,4.262679877,4.86753445
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2023-12-13T10:30:00,11.7,6.5,7.34,0,4.262679877,4.394449155
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2023-12-13T10:15:00,12.1,6.3,7.54,0,4.248495242,4.787491743
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2023-12-13T10:00:00,12.2,6.2,7.56,0,4.219507705,3.988984047
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2023-12-12T12:00:00,12.7,6.3,8.07,2.772588722,4.983606622,6.063785209
SW-70220104,RIVER AXE AT AXE BRIDGE,2023-12-12T10:08:00,10.9,9.8,7.8,3.258096538,5.799092654,8.216088099
SO-E0007267,PLENTY BROOK AT HERNE BAY,2023-12-11T13:40:00,11.3,7.6,7.17,0,4.025351691,4.59511985
NW-88004563,LEVEN AT LOW WOOD BRIDGE HAVERTHWAITE,2023-12-11T12:55:00,12.3,7.6,7.61,0.262364264,4.290459441,5.347107531
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2023-12-11T11:10:00,11,9.2,6.41,0.182321557,4.317488114,6.086774727
SW-81520166,RIVER FOWEY AT RESTORMEL,2023-12-11T10:23:00,11,10.2,7.01,1.280933845,4.787491743,5.393627546
MD-57464620,RIVER HAMPS - WINKHILL,2023-12-11T09:36:00,11.6,7.3,7.9,2.48490665,5.442417711,7.090076836
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2023-12-08T13:49:00,10.9,9.4,5.85,0,4.33073334,4.86753445
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-12-08T10:53:00,11.6,6.1,7.84,3.583518938,5.272999559,8.496990484
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2023-12-07T14:10:00,11.5,9.9,6.62,3.931825633,3.970291914,7.937374696
SW-81522725,ST NEOT RIVER AT ST NEOT BRIDGE,2023-12-07T13:46:00,11.2,10,6.53,4.787491743,4.248495242,8.732304571
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2023-12-07T13:05:00,12.4,7.1,6.97,1.098612289,4.262679877,4.394449155
SW-81930120,RIVER FAL AT TREGONY GAUGING STATION,2023-12-07T10:04:00,10.7,10,6.56,3.850147602,5.192956851,8.38935982
SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,2023-12-06T15:21:00,12.2,6.9,7.34,2.772588722,5.075173815,7.244227516
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2023-12-06T12:25:00,11.4,4.2,7.94,0.641853886,6.533788838,5.347107531
AN-RR0108,ROMAN RIVER BOUNSTEAD BRIDGE,2023-12-05T10:49:00,11.2,6.6,7.92,3.218875825,6.595780514,6.802394763
SW-81950522,CARNON RIVER AT DEVORAN BRIDGE,2023-12-04T11:45:00,9.91,10.7,6.55,1.840549633,5.966146739,8.216088099
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2023-12-01T12:25:00,12.4,4.8,8.07,1.791759469,6.089044875,7.377758908
MD-57403450,RIVER MANIFOLD - ILAM,2023-12-01T11:38:00,10.5,7.3,7.54,1.589235205,6.091309882,5.298317367
NW-88004397,RIVER KENT AT SEDGEWICK,2023-11-28T13:27:00,12.7,6.6,7.58,0,4.997212274,6.802394763
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2023-11-28T09:38:00,12.6,5.8,7.16,0,4.382026635,2.302585093
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2023-11-28T09:18:00,12.8,5.3,7.22,0.405465108,4.17438727,3.988984047
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2023-11-20T10:24:00,10.8,10.3,7.05,0.641853886,4.33073334,5.075173815
SW-70220104,RIVER AXE AT AXE BRIDGE,2023-11-17T12:50:00,11.1,9.2,7.76,3.218875825,5.736572297,8.839276691
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2023-11-14T11:10:00,10.1,11,7.74,2.708050201,5.799092654,7.495541944
AN-RR0108,ROMAN RIVER BOUNSTEAD BRIDGE,2023-11-14T10:40:00,9.75,10,7.77,4.17438727,6.481577129,7.824046011
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2023-11-10T10:47:00,11.6,7.6,7.7,2.397895273,5.049856007,5.940171253
SW-81520166,RIVER FOWEY AT RESTORMEL,2023-11-09T15:36:00,11.1,10.4,6.88,1.30833282,4.787491743,7.313220387
AN-RE600184,MAPLIN SAND 2 MILE W BLACKTAIL SPIT BUOY,2023-11-09T10:55:00,8.3,12.2,7.98,4.443827036,6.752270376,2.890371758
SW-81930120,RIVER FAL AT TREGONY GAUGING STATION,2023-11-08T11:26:00,10.3,11.6,6.98,3.526360525,5.318119994,9.392661929
SW-81950522,CARNON RIVER AT DEVORAN BRIDGE,2023-11-07T15:44:00,9.52,12.7,6.69,1.458615023,5.996452089,7.313220387
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2023-11-07T11:12:00,11.2,10.6,6.44,0.955511445,4.430816799,5.247024072
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2023-11-06T12:51:00,8.66,9.2,7.9,0.641853886,6.481577129,4.700480366
MD-57403450,RIVER MANIFOLD - ILAM,2023-11-02T12:05:00,10.6,9.6,7.56,3.465735903,5.501258211,7.549609165
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-11-02T10:23:00,10.2,9.2,7.73,2.708050201,5.416100402,7.377758908
MD-54520250,RIVER DOVE  DOVEDALE,2023-11-02T10:05:00,11.3,9.2,7.92,2.772588722,5.937536205,7.783224016
SW-81522725,ST NEOT RIVER AT ST NEOT BRIDGE,2023-11-01T13:51:00,10.8,11.9,6.54,0.875468737,4.543294782,5.703782475
SW-50450129,RIVER PIDDLE AT WEST MILLS,2023-11-01T13:48:00,9.69,12.4,7.77,3.044522438,6.09356977,5.913503006
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2023-11-01T13:29:00,10.5,11.7,6.41,0.916290732,4.343805422,3.583518938
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2023-11-01T13:09:00,10.8,11.3,5.87,0.470003629,4.094344562,6.380122537
SW-50590127,RIVER FROME AT HOLME BRIDGE,2023-11-01T12:44:00,9.14,12.8,7.78,2.48490665,6.03068526,7.313220387
MD-57464620,RIVER HAMPS - WINKHILL,2023-11-01T09:44:00,10.9,10.2,7.84,2.944438979,5.463831805,8.070906089
SW-72920121,RIVER TORRIDGE AT BEAM BRIDGE,2023-10-31T11:08:00,10.7,11.7,7.14,2.397895273,5.017279837,6.309918278
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2023-10-30T14:57:00,10.7,11.7,6.52,0.916290732,4.343805422,5.669880923
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2023-10-26T14:57:00,9.96,12.9,7.8,3.433987204,5.85220248,8.242756346
SW-70220104,RIVER AXE AT AXE BRIDGE,2023-10-26T14:13:00,9.68,12.8,7.62,3.33220451,5.828945618,9.546812609
NE-49000137,ESK AT RUSWARP - BANKSIDE,2023-10-25T10:22:00,11.1,10.1,7.69,2.48490665,5.308267697,7.090076836
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2023-10-25T09:35:00,11.4,9.6,7.75,2.48490665,5.147494477,6.768493212
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2023-10-24T11:20:00,11.3,9.6,7.35,0.09531018,4.369447852,3.295836866
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2023-10-24T11:00:00,10.8,10.9,7.14,0,4.553876892,4.143134726
SW-81020802,RIVER PIALL AT MARKS BRIDGE,2023-10-24T10:45:00,11.4,11.4,7.51,0,4.343805422,8.03915739
NW-88004397,RIVER KENT AT SEDGEWICK,2023-10-24T10:10:00,11.5,9.9,7.79,0,5.252273428,4.86753445
SW-50590127,RIVER FROME AT HOLME BRIDGE,2023-10-18T15:54:00,10.3,12.3,8.13,1.098612289,6.285998095,6.272877007
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2023-10-17T11:34:00,10.9,11.1,6.31,0,4.33073334,4.86753445
MD-54520250,RIVER DOVE  DOVEDALE,2023-10-17T09:16:00,11.7,8.1,8.11,1.458615023,6.098074282,5.010635294
SW-81520166,RIVER FOWEY AT RESTORMEL,2023-10-11T09:34:00,10.1,14.1,7.46,0,4.753590191,5.857933154
AN-RR0108,ROMAN RIVER BOUNSTEAD BRIDGE,2023-10-09T13:06:00,8.97,15.5,7.83,1.098612289,6.756932389,5.966146739
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2023-10-06T13:04:00,10.7,14,6.31,0,4.33073334,4.394449155
SW-50450129,RIVER PIDDLE AT WEST MILLS,2023-10-06T12:29:00,9.59,14.6,7.85,0.955511445,6.295266001,5.560681631
SW-81930120,RIVER FAL AT TREGONY GAUGING STATION,2023-10-06T10:45:00,9.72,13.6,7.23,2.833213344,5.476463552,7.170119543
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2023-10-06T09:57:00,9.75,15.3,7.08,1.098612289,4.276666119,2.890371758
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-10-05T11:07:00,9.48,14.1,7.5,1.62924054,5.446737372,6.413458957
SW-81950522,CARNON RIVER AT DEVORAN BRIDGE,2023-10-05T09:19:00,8.75,13.8,6.28,1.30833282,6.481577129,4.49980967
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2023-10-03T15:04:00,10.1,14.6,8,0,6.520621128,5.634789603
MD-57464620,RIVER HAMPS - WINKHILL,2023-10-03T12:23:00,10.5,12.1,8.04,2.944438979,5.627621114,7.696212639
MD-57403450,RIVER MANIFOLD - ILAM,2023-10-03T11:47:00,9.38,12,7.61,2.833213344,5.736572297,7.377758908
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2023-10-02T14:12:00,10.2,14.6,6.68,0,4.48863637,4.276666119
SW-81522725,ST NEOT RIVER AT ST NEOT BRIDGE,2023-10-02T13:27:00,10,14.8,6.39,0,4.510859507,4.59511985
SW-50590127,RIVER FROME AT HOLME BRIDGE,2023-09-29T14:57:00,10.4,16.9,7.81,1.526056303,6.293419279,6.8134446
SW-50450129,RIVER PIDDLE AT WEST MILLS,2023-09-29T12:56:00,9.73,16.4,7.37,0.832909123,6.336825731,5.634789603
AN-RR0108,ROMAN RIVER BOUNSTEAD BRIDGE,2023-09-29T12:21:00,8.75,15.8,7.79,1.252762968,6.723832441,7.090076836
SW-70220104,RIVER AXE AT AXE BRIDGE,2023-09-29T10:45:00,8.21,15.2,7.73,2.066862759,6.063785209,8.809862805
NW-88004530,RIVER BRATHAY AT CLAPPERSGATE,2023-09-28T13:20:00,7.81,13.6,6.21,0,4.553876892,5.799092654
NW-88024648,DUBBS BECK AT CAPPLE HOWE IMPOUNDMENT,2023-09-28T11:30:00,10.2,12.8,7.01,0,4.234106505,5.010635294
NW-88024649,DUBBS BECK U/S DUBBS RESERVOIR,2023-09-28T11:15:00,9.76,12.1,6.85,0,4.343805422,4.700480366
NW-88023151,RIVER GOWAN @ STUBBINGS BRIDGE,2023-09-28T10:45:00,10.3,13.1,7.73,0,4.510859507,3.80666249
NW-88004397,RIVER KENT AT SEDGEWICK,2023-09-28T10:00:00,10.4,13.2,7.71,0.832909123,4.709530201,7.649692624
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2023-09-28T09:18:00,9.19,14.3,7.9,2.48490665,6.033086222,7.377758908
SW-81930120,RIVER FAL AT TREGONY GAUGING STATION,2023-09-27T12:27:00,10.1,15,7.26,2.833213344,5.384495063,7.090076836
NW-88004563,LEVEN AT LOW WOOD BRIDGE HAVERTHWAITE,2023-09-26T14:40:00,10.1,15.8,7.23,0.405465108,4.219507705,4.394449155
NW-88004590,RIVER CRAKE AT WATER YEAT,2023-09-26T13:55:00,9.14,14.7,6.87,0,4.043051268,3.988984047
SW-70920104,RIVER ERME AT SEQUERS BRIDGE,2023-09-22T11:40:00,9.93,12.8,8.13,0.262364264,4.804021045,7.60090246
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-09-21T10:33:00,7.14,18,8.76,1.098612289,7.265429723,4.605170186
MD-54520250,RIVER DOVE  DOVEDALE,2023-09-21T10:27:00,10.9,11,7.99,2.197224577,5.937536205,8.160518247
SW-50034689,BOWLEAZE COVE (20400),2023-09-21T10:15:00,9.54,19,7.67,3.526360525,5.549076085,3.988984047
SW-81520166,RIVER FOWEY AT RESTORMEL,2023-09-14T09:08:00,10.1,14.4,7.08,0.09531018,4.624972813,5.347107531
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2023-09-13T15:26:00,9.84,15.6,6.88,0,4.343805422,4.941642423
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-09-13T10:45:00,8.71,20.5,8.95,1.840549633,7.282073658,4.510859507
SW-81950522,CARNON RIVER AT DEVORAN BRIDGE,2023-09-08T10:40:00,8.97,15.7,6.13,1.064710737,6.49677499,4.787491743
NW-88003872,RIVER WYRE AT ST MICHAELS,2023-09-07T13:06:00,7.99,19,9.36,0.955511445,5.645446898,6.272877007
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-09-07T11:25:00,11.9,23,9.1,2.091864062,7.252053952,4.158883083
SW-81522326,WARLEGGAN RIVER AT PANTERS BRIDGE,2023-09-07T10:31:00,9.66,16.2,7.14,0.09531018,4.48863637,5.480638923
SW-81523404,SIBLYBACK STREAM AT TREKEIVESTEPS BRIDGE,2023-09-05T15:05:00,9.06,18.5,6.69,0.993251773,4.290459441,3.295836866
SW-81520593,RIVER FOWEY AT HARROWBRIDGE,2023-09-05T14:45:00,9.75,16.9,6.18,0,4.33073334,6.363028104
SW-70811815,COMBE STREAM AT SALCOMBE SOUTH SANDS,2023-09-05T12:00:00,9.48,16.3,8.35,1.252762968,6.380122537,5.966146739
SW-70811912,COLLATON STREAM  AT SALCOMBE NORTH SANDS,2023-09-05T11:21:00,8.91,16.6,8.16,0,6.733401892,5.438079309
MD-57464620,RIVER HAMPS - WINKHILL,2023-09-05T09:05:00,9.16,14,8.07,1.740466175,6.054439346,6.445719819
AN-48M08,R.WISSEY ICKBURGH RD.BR.,2023-09-01T11:49:00,9.77,14.7,7.92,0,6.431331082,4.276666119
NE-49000700,ESK AT BRIGGSWATH FOOTBRIDGE,2023-09-01T11:48:00,10.5,13.5,7.81,1.987874348,5.463831805,6.194405391
SW-81610134,PAR RIVER AT ST. BLAZEY BRIDGE,2023-09-01T11:25:00,9.97,13.8,7.72,2.140066163,5.451038454,7.003065459
SW-70614644,NESS COVE (23000),2023-08-31T10:40:00,9.75,17.1,7.36,0,4.060443011,4.510859507
SW-70220159,RIVER AXE AT WHITFORD BRIDGE,2023-08-31T10:13:00,9.27,14.4,8,2.772588722,6.230481448,10.46310334
SW-81950522,CARNON RIVER AT DEVORAN BRIDGE,2023-08-31T09:10:00,8.63,14.8,6.2,2.48490665,6.499787041,8.342839804
SW-81520521,RIVER FOWEY AT DRAYNES BRIDGE,2023-08-30T13:51:00,10,14.2,6.9,0,4.317488114,5.135798437
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2023-08-30T12:12:00,9.64,16.8,8.34,0.875468737,7.317876199,5.799092654
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2023-08-30T11:25:00,9.45,19.8,8.97,1.526056303,7.257707677,4.787491743
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2023-08-30T11:15:00,10.2,19.6,8.86,1.648658626,7.264030143,5.480638923
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2023-08-30T10:59:00,10.7,19.4,9.09,2.014903021,7.252762418,5.135798437
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2023-08-30T10:55:00,11.4,19.5,8.9,0.993251773,7.294377299,4.276666119
SW-81930120,RIVER FAL AT TREGONY GAUGING STATION,2023-08-30T09:36:00,9.83,13.2,7.24,2.397895273,5.411646052,7.43838353
