sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,Oxygen Diss,Temp Water,pH,ln Turd,ln Cond,ln Coliform,cos_day_of_year,sin_day_of_year,cos_time_of_day,sin_time_of_day,Oxygen Diss * Temp Water,Oxygen Diss * pH,Oxygen Diss * ln Turd,Oxygen Diss * ln Cond,Oxygen Diss * cos_day_of_year,Oxygen Diss * sin_day_of_year,Oxygen Diss * cos_time_of_day,Temp Water * pH,Temp Water * ln Turd,Temp Water * ln Cond,Temp Water * cos_day_of_year,Temp Water * sin_day_of_year,Temp Water * cos_time_of_day,pH * ln Turd,pH * ln Cond,pH * cos_day_of_year,pH * sin_day_of_year,pH * cos_time_of_day,ln Turd * ln Cond,ln Turd * cos_day_of_year,ln Turd * sin_day_of_year,ln Turd * cos_time_of_day,ln Cond * cos_day_of_year,ln Cond * sin_day_of_year,ln Cond * cos_time_of_day,cos_day_of_year * sin_day_of_year,cos_day_of_year * cos_time_of_day,sin_day_of_year * cos_time_of_day,Oxygen Diss n/(n+1),Temp Water n/(n+1),pH n/(n+1),ln Turd n/(n+1),ln Cond n/(n+1),cos_day_of_year n/(n+1),sin_day_of_year n/(n+1)
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-09-06T12:10:00,8.38,19.5,8.75,0.741937345,7.168579897,6.173786104,-0.400243939,-0.916408637,-0.999048222,-0.043619387,163.41,73.325,6.217434951,60.07269954,-3.354044209,-7.679504378,-8.3720241,170.625,14.46777823,139.787308,-7.804756811,-17.86996842,-19.48144033,6.491951769,62.7250741,-3.502134466,-8.018575574,-8.741671943,5.318637136,-0.296955925,-0.679917791,-0.741231185,-2.869180655,-6.569348533,-7.161757,0.366787003,0.399862996,0.915536419,0.893390192,0.951219512,0.897435897,0.425926539,0.8775797,-0.667344551,-10.96295842
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-09-06T11:36:00,6.01,19,8.23,0.741937345,7.240649694,5.521460918,-0.400243939,-0.916408637,-0.994521895,0.104528463,114.19,49.4623,4.459043443,43.51630466,-2.405466073,-5.507615908,-5.977076589,156.37,14.09680956,137.5723442,-7.604634841,-17.4117641,-18.89591601,6.106144349,59.59054698,-3.294007618,-7.542043083,-8.184915196,5.37210841,-0.296955925,-0.679917791,-0.737872934,-2.898026154,-6.635393917,-7.200984655,0.366787003,0.398051361,0.911388454,0.857346648,0.95,0.891657638,0.425926539,0.878650345,-0.667344551,-10.96295842
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-09-06T10:46:00,7.49,19,8.47,1.029619417,7.195937226,4.941642423,-0.400243939,-0.916408637,-0.948323655,0.317304656,142.31,63.4403,7.711849433,53.89756982,-2.997827103,-6.863900691,-7.102944176,160.93,19.56276892,136.7228073,-7.604634841,-17.4117641,-18.01814945,8.720876462,60.9495883,-3.390066163,-7.761981155,-8.032301358,7.409076691,-0.412098931,-0.943552127,-0.976412449,-2.88013026,-6.594419025,-6.824077491,0.366787003,0.379560795,0.869051988,0.88221437,0.95,0.894403379,0.507296791,0.877988329,-0.667344551,-10.96295842
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-09-06T10:15:00,8.97,16.4,8.19,1.00E-07,7.305188215,6.272877007,-0.400243939,-0.916408637,-0.896872742,0.44228869,147.108,73.4643,8.97E-07,65.52753829,-3.590188133,-8.220185474,-8.044948496,134.316,1.64E-06,119.8050867,-6.5640006,-15.02910165,-14.70871297,8.19E-07,59.82949148,-3.27799786,-7.505386737,-7.345387757,7.31E-07,-4.00E-08,-9.16E-08,-8.97E-08,-2.923857306,-6.694537575,-6.551824185,0.366787003,0.358967879,0.821901927,0.899699097,0.942528736,0.891186072,1.00E-07,0.879593337,-0.667344551,-10.96295842
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-09-02T11:47:00,9.22,20.5,8.84,0.993251773,7.163172391,6.253828812,-0.46230483,-0.886721063,-0.998391671,0.056692788,189.01,81.5048,9.157781347,66.04444945,-4.262450533,-8.175568201,-9.205171207,181.22,20.36166135,146.845034,-9.477249015,-18.17778179,-20.46702926,8.780345673,63.32244394,-4.086774697,-7.838614197,-8.825782372,7.114833678,-0.459185092,-0.880737268,-0.991654297,-3.311569194,-6.351735837,-7.151651653,0.40993543,0.461561292,0.885294924,0.902152642,0.953488372,0.898373984,0.498307232,0.877498606,-0.859789814,-7.827766454
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-09-02T11:35:00,8.88,20.6,8.8,0.587786665,7.169350017,5.075173815,-0.46230483,-0.886721063,-0.994056338,0.108866875,182.928,78.144,5.219545585,63.66382815,-4.10526689,-7.874083039,-8.827220281,181.28,12.1084053,147.6886104,-9.523479498,-18.2664539,-20.47756056,5.172522652,63.09028015,-4.068282504,-7.803145354,-8.747695774,4.214048337,-0.271736614,-0.521202816,-0.58429306,-3.314425141,-6.357213668,-7.126737824,0.40993543,0.459557046,0.881450693,0.898785425,0.953703704,0.897959184,0.370192469,0.877591241,-0.859789814,-7.827766454
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-09-02T11:22:00,9.1,17.8,8.22,0.955511445,7.327123292,6.907755279,-0.46230483,-0.886721063,-0.986285602,0.165047606,161.98,74.802,8.695154149,66.67682196,-4.206973953,-8.069161673,-8.975198978,146.316,17.00810372,130.4227946,-8.229025974,-15.78363492,-17.55588372,7.854304078,60.22895346,-3.800145703,-7.288847138,-8.107267648,7.001150164,-0.441737556,-0.847272124,-0.942407181,-3.387364488,-6.497114554,-7.226636207,0.40993543,0.455964598,0.874560217,0.900990099,0.946808511,0.89154013,0.488624829,0.879910509,-0.859789814,-7.827766454
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-09-02T11:10:00,9.44,20.5,8.77,0.693147181,7.19518732,6.65929392,-0.46230483,-0.886721063,-0.976296007,0.216439614,193.52,82.7888,6.543309389,67.9225683,-4.364157595,-8.370646835,-9.216234306,179.785,14.20951721,147.5013401,-9.477249015,-18.17778179,-20.01406814,6.078900777,63.1017928,-4.054413359,-7.776543723,-8.562115981,4.987323808,-0.32044529,-0.614628205,-0.676716825,-3.326369851,-6.380124149,-7.02463265,0.40993543,0.45134636,0.865702233,0.904214559,0.953488372,0.897645855,0.409383891,0.877977164,-0.859789814,-7.827766454
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-09-02T10:53:00,6.7,20.6,8.45,0.78845736,7.238496841,5.135798437,-0.46230483,-0.886721063,-0.957571361,0.288196268,138.02,56.615,5.282664312,48.49792883,-3.097442361,-5.941031122,-6.415728119,174.07,16.24222162,149.1130349,-9.523479498,-18.2664539,-19.72597004,6.662464692,61.16529831,-3.906475813,-7.492792982,-8.091478,5.70724611,-0.364507646,-0.699141748,-0.755004187,-3.346392052,-6.418527613,-6.931377272,0.40993543,0.442689865,0.849098695,0.87012987,0.953703704,0.894179894,0.440858909,0.878618634,-0.859789814,-7.827766454
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-08-27T11:51:00,13.3,20.4,8.76,0.470003629,7.270312886,5.480638923,-0.551204587,-0.834370124,-0.999229036,0.039259816,271.32,116.508,6.251048266,96.69516138,-7.331021007,-11.09712265,-13.28974618,178.704,9.588074032,148.3143829,-11.24457357,-17.02115053,-20.38427233,4.11723179,63.68794088,-4.828552182,-7.309082286,-8.753246355,3.41707344,-0.259068156,-0.392156986,-0.469641273,-4.007429812,-6.066131864,-7.264707736,0.45990864,0.550779628,0.833726855,0.93006993,0.953271028,0.897540984,0.319729571,0.87908559,-1.228186766,-5.037558103
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-08-27T11:29:00,12.1,20,8.86,0.641853886,7.196686571,6.877296071,-0.551204587,-0.834370124,-0.990865897,0.13485093,242,107.206,7.766432021,87.07990751,-6.669575503,-10.0958785,-11.98947735,177.2,12.83707772,143.9337314,-11.02409174,-16.68740248,-19.81731794,5.68682543,63.76264302,-4.883672641,-7.392519299,-8.779071847,4.619221242,-0.353792806,-0.535543706,-0.635991126,-3.966846649,-6.004700267,-7.130951295,0.45990864,0.546169828,0.826748901,0.923664122,0.952380952,0.898580122,0.390932404,0.877999483,-1.228186766,-5.037558103
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-08-27T10:50:00,9.18,17.8,8.17,0.587786665,7.309881486,5.010635294,-0.551204587,-0.834370124,-0.953716951,0.3007058,163.404,75.0006,5.395881585,67.10471204,-5.060058109,-7.659517738,-8.75512161,145.426,10.46260264,130.1158905,-9.811441649,-14.85178821,-16.97616173,4.802217053,59.72173174,-4.503341476,-6.816803913,-7.79186749,4.29665086,-0.323990706,-0.490431633,-0.560582106,-4.029240206,-6.099146722,-6.971557883,0.45990864,0.525693158,0.795752931,0.901768173,0.946808511,0.890948746,0.370192469,0.87966134,-1.228186766,-5.037558103
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-08-27T10:40:00,9.88,20,8.88,0.875468737,7.156176637,5.669880923,-0.551204587,-0.834370124,-0.939692621,0.342020143,197.6,87.7344,8.649631122,70.70302517,-5.44590132,-8.243576825,-9.284163095,177.6,17.50937474,143.1235327,-11.02409174,-16.68740248,-18.79385242,7.774162385,63.54684854,-4.894696733,-7.409206701,-8.344470474,6.265008922,-0.482562384,-0.730464959,-0.822671512,-3.944517388,-5.970899988,-6.72460638,0.45990864,0.517962883,0.784051449,0.908088235,0.952380952,0.898785425,0.466799963,0.877393533,-1.228186766,-5.037558103
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-08-27T10:32:00,9.12,19.8,8.9,0.641853886,7.126890809,4.605170186,-0.551204587,-0.834370124,-0.927183855,0.374606593,180.576,81.168,5.85370744,64.99724418,-5.026985833,-7.609455531,-8.455916758,176.22,12.70870694,141.112438,-10.91385082,-16.52052846,-18.35824033,5.712499585,63.4293282,-4.905720824,-7.425894104,-8.25193631,4.574422561,-0.353792806,-0.535543706,-0.59511656,-3.928374905,-5.946464768,-6.607938094,0.45990864,0.511067994,0.773614508,0.901185771,0.951923077,0.898989899,0.390932404,0.876951712,-1.228186766,-5.037558103
NW-88003872,RIVER WYRE AT ST MICHAELS,2024-08-19T11:09:00,8.98,15.8,8.07,1.458615023,5.749392986,7.170119543,-0.660456564,-0.750864253,-0.975342321,0.220697435,141.884,72.4686,13.09836291,51.62954901,-5.930899945,-6.742760992,-8.758574043,127.506,23.04611736,90.84040918,-10.43521371,-11.8636552,-15.41040867,11.77102324,46.3976014,-5.329884471,-6.059474522,-7.87101253,8.386150983,-0.963351866,-1.09522188,-1.422648962,-3.797224337,-4.31701367,-5.607626299,0.495913225,0.644171238,0.732349683,0.899799599,0.94047619,0.889746417,0.593266945,0.851838528,-1.945131297,-3.013876018
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-08-15T12:45:00,14.5,23.2,9.22,0.182321557,7.162397497,4.59511985,-0.710519603,-0.703677407,-0.98078528,-0.195090322,336.4,133.69,2.643662577,103.8547637,-10.30253424,-10.2033224,-14.22138656,213.904,4.229860122,166.1676219,-16.48405479,-16.32531584,-22.7542185,1.681004756,66.03730492,-6.55099074,-6.487905693,-9.042840282,1.305859464,-0.12954304,-0.12829556,-0.178818299,-5.089023826,-5.040017299,-7.024774035,0.499976592,0.696867168,0.690156443,0.935483871,0.958677686,0.902152642,0.154206405,0.877486976,-2.454465347,-2.374700491
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-08-15T12:40:00,15.8,24.5,9.32,1.410986974,7.227662499,3.988984047,-0.710519603,-0.703677407,-0.984807753,-0.173648178,387.1,147.256,22.29359419,114.1970675,-11.22620973,-11.11810303,-15.5599625,228.34,34.56918086,177.0777312,-17.40773027,-17.24009647,-24.12778995,13.1503986,67.36181449,-6.6220427,-6.558273433,-9.178408258,10.19813764,-1.002533905,-0.992879655,-1.389550911,-5.135395889,-5.085942806,-7.117858065,0.499976592,0.699725214,0.692986966,0.94047619,0.960784314,0.903100775,0.585232102,0.878458797,-2.454465347,-2.374700491
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-08-15T12:20:00,10.4,22.9,9.15,0.955511445,7.152268856,5.913503006,-0.710519603,-0.703677407,-0.996194698,-0.087155743,238.16,95.16,9.937319028,74.3835961,-7.389403871,-7.318245033,-10.36042486,209.535,21.88121209,163.7869568,-16.27089891,-16.11421262,-22.81285858,8.742929722,65.44326003,-6.501254367,-6.438648274,-9.115181487,6.83407475,-0.678909613,-0.672371816,-0.951875435,-5.081827228,-5.032890003,-7.125052313,0.499976592,0.707815861,0.700999702,0.912280702,0.958158996,0.901477833,0.488624829,0.877334762,-2.454465347,-2.374700491
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-08-15T12:00:00,10.1,22.9,9.14,0.336472237,7.14440718,4.941642423,-0.710519603,-0.703677407,-1,-3.22E-16,231.29,92.314,3.398369594,72.15851252,-7.17624799,-7.107141811,-10.1,209.306,7.705214227,163.6069244,-16.27089891,-16.11421262,-22.9,3.075356246,65.29988163,-6.494149171,-6.4316115,-9.14,2.403894666,-0.23907012,-0.236767911,-0.336472237,-5.076241353,-5.027357919,-7.14440718,0.499976592,0.710519603,0.703677407,0.90990991,0.958158996,0.901380671,0.251761486,0.877216355,-2.454465347,-2.374700491
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-08-15T11:41:00,9.2,18.7,8.33,0.530628251,7.34536484,6.194405391,-0.710519603,-0.703677407,-0.996565502,0.082808208,172.04,76.636,4.881779909,67.57735653,-6.536780348,-6.473832144,-9.168402618,155.771,9.922748294,137.3583225,-13.28671658,-13.15876751,-18.63577489,4.420133331,61.18688912,-5.918628293,-5.8616328,-8.301390632,3.897658098,-0.377021774,-0.373391112,-0.528805809,-5.21902571,-5.168767284,-7.320137199,0.499976592,0.708079325,0.701260628,0.901960784,0.949238579,0.892818864,0.346673499,0.880173004,-2.454465347,-2.374700491
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-08-05T12:15:00,9.72,23.2,8.78,1.824549292,7.25981961,6.536691598,-0.820485964,-0.571666671,-0.997858923,-0.065403129,225.504,85.3416,17.73461912,70.56544661,-7.97512357,-5.556600042,-9.699188732,203.696,42.32954357,168.427815,-19.03527436,-13.26266677,-23.15032701,16.01954278,63.74121618,-7.203866764,-5.019233371,-8.761201344,13.24589873,-1.497017085,-1.04303402,-1.820642791,-5.956580091,-4.150196909,-7.244275777,0.46904448,0.81872924,0.570442689,0.906716418,0.958677686,0.897750511,0.645961215,0.878931981,-4.570595048,-1.334630374
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-08-05T11:45:00,10.6,23.4,9.05,0.741937345,7.121252453,5.298317367,-0.820485964,-0.571666671,-0.997858923,0.065403129,248.04,95.93,7.864535857,75.485276,-8.697151218,-6.059666713,-10.57730458,211.77,17.36133387,166.6373074,-19.19937156,-13.3770001,-23.3498988,6.714532972,64.4473347,-7.425397974,-5.173583373,-9.030623253,5.283523138,-0.608749178,-0.424140852,-0.7403488,-5.842887684,-4.070982683,-7.106005303,0.46904448,0.81872924,0.570442689,0.913793103,0.959016393,0.900497512,0.425926539,0.876866283,-4.570595048,-1.334630374
TH-PGWB0004,BATHING WATER - THE SERPENTINE (11940),2024-08-05T11:28:00,10.4,22.8,9.03,0.587786665,7.122866659,5.560681631,-0.820485964,-0.571666671,-0.990268069,0.139173101,237.12,93.912,6.112981316,74.07781325,-8.533054026,-5.945333378,-10.29878792,205.884,13.40153596,162.4013598,-18.70707998,-13.0340001,-22.57811197,5.307713585,64.31948593,-7.408988255,-5.162150039,-8.942120663,4.186726039,-0.482270708,-0.336018046,-0.582066366,-5.844212117,-4.071905471,-7.053547412,0.46904448,0.812501051,0.56610325,0.912280702,0.957983193,0.900299103,0.370192469,0.876890753,-4.570595048,-1.334630374
TH-PGWL0215,SERPENTINE AT INLET FROM DIANA BH,2024-08-05T11:11:00,10.1,22.2,9.16,1.00E-07,7.138867,4.49980967,-0.820485964,-0.571666671,-0.977231106,0.212177672,224.22,92.516,1.01E-06,72.1025567,-8.286908236,-5.773833377,-9.870034171,203.352,2.22E-06,158.4828474,-18.2147884,-12.6910001,-21.69453055,9.16E-07,65.39202172,-7.51565143,-5.236466706,-8.951436931,7.14E-07,-8.20E-08,-5.72E-08,-9.77E-08,-5.857340172,-4.081052333,-6.976322894,0.46904448,0.801804406,0.558650453,0.90990991,0.956896552,0.901574803,1.00E-07,0.877132775,-4.570595048,-1.334630374
TH-PGWL0214,"PRINCESS DIANA FOUNTAIN, HYDE PARK",2024-08-05T10:55:00,8.78,18,8.17,0.587786665,7.337587744,5.886104031,-0.820485964,-0.571666671,-0.960049854,0.279829014,158.04,71.7326,5.160766919,64.42402039,-7.203866764,-5.019233371,-8.429237718,147.06,10.58015997,132.0765794,-14.76874735,-10.29000008,-17.28089737,4.802217053,59.94809187,-6.703370326,-4.670516702,-7.843607307,4.312936229,-0.482270708,-0.336018046,-0.564304502,-6.020387754,-4.194654359,-7.044450042,0.46904448,0.78770743,0.548828504,0.897750511,0.947368421,0.890948746,0.370192469,0.880061232,-4.570595048,-1.334630374
SW-70811815,COMBE STREAM AT SALCOMBE SOUTH SANDS,2024-08-01T15:10:00,9.32,18,8.63,2.272125886,6.363028104,6.697034248,-0.857849498,-0.513901001,-0.675590208,-0.737277337,167.76,80.4316,21.17621326,59.30342193,-7.995157321,-4.789557329,-6.296500739,155.34,40.89826595,114.5345059,-15.44129096,-9.250218018,-12.16062374,19.6084464,54.91293254,-7.403241168,-4.434965639,-5.830343495,14.45760087,-1.949142051,-1.167647767,-1.535026,-5.458520465,-3.269966512,-4.29879948,0.440849716,0.579554721,0.347186484,0.903100775,0.947368421,0.89615784,0.694388286,0.864186312,-6.034797527,-1.057194115
TH-PGWL0217,"SERPENTINE AT OUTLET, HYDE PARK",2024-07-31T12:01:00,11.2,24.7,9.12,0.78845736,7.03438793,5.075173815,-0.866562479,-0.499068603,-0.999990481,-0.004363309,276.64,102.144,8.830722432,78.78514482,-9.705499765,-5.589568354,-11.19989339,225.264,19.47489679,173.7493819,-21.40409323,-12.32699449,-24.69976488,7.190731123,64.15361792,-7.903049808,-4.551505659,-9.119913187,5.546314937,-0.683247564,-0.393494313,-0.788449855,-6.095736643,-3.510642157,-7.03432097,0.432474126,0.86655423,0.499063852,0.918032787,0.961089494,0.901185771,0.440858909,0.875535012,-6.49414402,-0.996281339
TH-PGWL0216,LONG WATER AT INLET FROM ITALIAN GDNS BH,2024-07-31T11:28:00,10.7,22.5,8.74,0.09531018,7.35372233,4.59511985,-0.866562479,-0.499068603,-0.990268069,0.139173101,240.75,93.518,1.019818926,78.68482893,-9.272218525,-5.340034052,-10.59586834,196.65,2.14447905,165.4587524,-19.49765578,-11.22904357,-22.28103155,0.833010973,64.27153316,-7.573756066,-4.36185959,-8.654942923,0.700884599,-0.082592226,-0.047566318,-0.094382628,-6.372459852,-3.67001193,-7.282156412,0.432474126,0.858129153,0.494211702,0.914529915,0.957446809,0.897330595,0.087016611,0.880292885,-6.49414402,-0.996281339
