sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,Cond @ 25C,Oxygen Diss,Temp Water,pH,Turbidity,E.coli C-MF,Available
NE-41000400,NEW WATER HAUGH,2012-01-30T13:15:00,740,11.8,4.1,8.32,1,25200,6
NE-41000404,TWEED TRIB WEST OF HORNCLIFFE HOUSE,2012-01-30T11:20:00,942,11.7,3.3,8.32,1,21600,6
NE-41000404,TWEED TRIB WEST OF HORNCLIFFE HOUSE,2012-01-18T11:00:00,158,11.5,4.5,8.313,1,21600,6
SW-70910108,MOTHECOMBE BEACH (26100),2008-05-22T12:45:00,48700,11.1,12.4,8.31,1,18000,6
SO-G0003619,BEAULIEU RIVER-SHELLFISH WATER,2011-05-06T13:45:00,52844,9.23,14.36,8.31,1,360,6
SW-82114893,MARAZION (30200),2007-08-01T13:15:00,47200,9.2,18.2,8.31,1,35000,6
NW-88019977,NORTH WIRRAL WEST SHELLFISH @ SJ230 910,2007-08-01T12:50:00,46600,9.1,18.4,8.31,1,35000,6
NE-45600190,SKELTON BK DS RD BR BY BEACH,2011-03-02T10:52:00,899,12.7,4.93,8.3,1,19200,6
SW-81510150,READYMONEY COVE (27100),2002-07-12T13:00:00,673,10.5,14.7,8.3,1,19200,6
SW-82315201,PERRANPORTH (31800),2008-06-20T11:17:00,42400,8.16,15.71,8.27,1,15400,6
NE-45600190,SKELTON BK DS RD BR BY BEACH,2011-02-22T11:38:00,1142,14,5.34,8.25,1,18000,6
SW-82615254,SANDYMOUTH (33700),2008-05-21T14:36:00,41900,8.54,14.228,8.22,1,15300,6
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-05-05T13:41:00,814,10.6,13.2,8.21,1,9600,6
SO-Y0004286,SEAGROVE (18000),2007-06-26T10:35:00,547,9.43,13.7,8.2,1,8000,6
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-08-31T13:45:00,1004,7.68,15.3,8.2,1,160,6
NE-45500286,STELL OFF SEATON LANE (B1276) TRIB 1,2012-02-01T11:00:00,2305,11.8,4.7,8.17,1,7000,6
SO-Y0004297,SANDOWN AT YAVERLAND (18350),2007-08-31T11:15:00,636,11.6,13.85,8.17,1,7000,6
NW-88003186,CARR BROOK AT A59 ROAD,2011-06-30T13:06:00,830,10.3,15.9,8.16,1,90,6
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2011-04-01T13:48:00,1000,10,12.1,8.16,1,90,6
NE-49000064,CAYTON BAY (07500),2007-05-21T12:10:00,661,10.6,15.95,8.12,1,1000,6
SW-73115120,ILFRACOMBE WILDERSMOUTH BEACH (34500),2007-09-20T11:05:00,651,8.64,14.15,8.12,1,145,6
SW-82518086,CAMEL SHELLFISH WATER,2007-07-10T14:15:00,50900,8.32,16,8.12,1,80,6
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-06-30T14:33:00,886,10.4,18.1,8.107,1,6840,6
SW-82215391,HAYLE TOWANS (31300),2010-07-29T10:25:00,8.7,10.4,17.39,8.106,1,6840,6
NE-45600179,SKELTON BK 3M U/S SALTBURN GILL CONF,2011-02-22T11:03:00,1182,14.8,4.97,8.08,1,4000,6
NW-88022685,THE SLUICE U/S CROSSENS PS,2011-06-20T13:13:00,984,9.23,19.4,8.06,1,33,6
NW-88022685,THE SLUICE U/S CROSSENS PS,2011-06-30T14:03:00,810,7.19,19.3,8.04,1,2610,6
SW-E8900500,BERROW N OF UNITY FM (35500),2009-08-26T11:15:00,49620,6.64,17.5,8.04,1,2610,6
SW-52804350,AVON BEACH (18800),2008-05-08T11:35:00,36200,8.65,14.46,8.04,1,2680,6
SW-50024527,BRANKSOME CHINE (19170),2011-08-30T11:20:00,614,6.88,17.5,8.018,1,2200,6
NW-88003187,LONGTON BROOK AT GRANGE LANE,2012-03-06T10:15:00,613,11.9,4.4,8.01,1,1224,6
NW-88019982,SILLOTH SHELLFISH MON.PNT. AT NY097525,2008-04-22T13:42:00,46200,10.7,8.3,8.005,1,1224,6
NE-42300080,COQUET AT WARKWORTH DAM,2002-07-04T13:30:00,315,9.92,14.7,8,1,2000,6
SW-70814888,MOUTHWELL SANDS,2002-07-11T10:50:00,265,9.82,15.5,8,1,2000,6
SW-50250634,RIVER WYLYE AT B3095 BRIDGE,2012-01-13T10:05:00,625,9.59,7.1,8,1,2000,6
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2010-10-22T13:00:00,614,8.54,12.3,8,1,2000,6
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2011-06-24T14:34:00,635,8.46,16.6,8,1,2000,6
NW-88022926,BATHING WATER CATCHMENT WALK PROJECT,2011-10-27T13:15:00,656,8.11,12.9,8,1,2000,6
SW-50024545,CANFORD CLIFFS CHINE (19190),2011-08-30T11:30:00,572,7.29,15.4,8,1,1800,6
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-10-27T13:00:00,673,6.44,10.3,8,1,1800,6
SW-50054566,CHARMOUTH WEST (21300),2008-09-11T10:40:00,776,7.16,11.09,8,1,1008,6
SW-E8900900,WESTON UPHILL SLIPWY (35700),2007-06-20T10:45:00,639,8.05,17.7,7.99,1,546,6
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2011-10-06T12:20:00,574.2,7.22,13.8,7.99,1,546,6
NE-45500283,THE STELL BEACH OUTFALL 1,2012-02-01T12:15:00,4047,12.3,3.3,7.96,1,591,6
NE-45401462,BURN VALLEY BECK AT BURN VALLEY GARDENS,2012-01-26T10:10:00,1336,11,4.6,7.96,1,591,6
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2011-08-09T09:15:00,552,6.29,17,7.93,1,1040,6
NE-41000401,RUTCHEY BURN 50M U/S CONF WITH TWEED,2012-02-06T10:00:00,741,13.2,1.5,7.91,1,500,6
NE-41000401,RUTCHEY BURN 50M U/S CONF WITH TWEED,2012-01-30T10:00:00,810,12.4,2.9,7.91,1,500,6
NW-88022688,"WALMER BROOK, HALL CARR LANE",2012-03-06T10:50:00,679,11.5,6.2,7.91,1,500,6
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2012-03-02T12:35:00,753,11.2,9.8,7.91,1,500,6
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2012-03-02T12:45:00,720,11.2,9.3,7.91,1,500,6
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2011-04-13T11:47:00,723,9.62,10.3,7.9,1,400,6
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-10-05T14:05:00,788,8.8,16.5,7.9,1,400,6
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-04-13T12:41:00,799,8.34,9.4,7.9,1,400,6
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-05-06T12:05:00,942,8.13,15,7.9,1,400,6
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2012-03-02T11:40:00,947,8.08,9.6,7.9,1,300,6
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-06-22T10:20:00,677,8.07,16,7.9,1,300,6
SW-70514559,CORYTON COVE     DAWLISH (22600),2011-08-08T14:00:00,500,7.5,18.5,7.9,1,100,6
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-10-27T13:30:00,747,6.68,10.2,7.9,1,100,6
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-06-20T11:44:00,741,6.55,16.2,7.9,1,100,6
SW-70614728,BABBACOMBE BEACH (23400),2011-08-30T10:35:00,716,6.44,16.7,7.9,1,55,6
NW-88003186,CARR BROOK AT A59 ROAD,2011-08-09T09:40:00,613,4.46,13.4,7.9,1,18,6
NE-45600190,SKELTON BK DS RD BR BY BEACH,2011-02-01T10:54:00,1290,12.7,4.83,7.9,1,672,6
SW-E8900500,BERROW N OF UNITY FM (35500),2007-06-20T11:15:00,543,8.53,16.35,7.89,1,636,6
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2011-10-05T13:25:00,968,7.76,16.3,7.88,1,406,6
NW-88003186,CARR BROOK AT A59 ROAD,2010-10-22T13:30:00,615,7.85,11.4,7.87,1,800,6
NE-45600076,SALTBURN GILL U/S SKELTON BECK CONF,2011-03-02T10:25:00,1024,11.9,5.3,7.85,1,8,6
SW-70514549,DAWLISH (TOWN) BEACH,2008-08-21T11:20:00,2649,6.91,16.9,7.85,1,8,6
NW-88022685,THE SLUICE U/S CROSSENS PS,2011-10-05T13:40:00,810,6.02,15.5,7.85,1,8,6
NE-45600179,SKELTON BK 3M U/S SALTBURN GILL CONF,2011-02-01T10:23:00,1147,13.2,4.49,7.83,1,8,6
SO-F0001843,BIRLING GAP (14550),2011-06-20T12:08:00,1619,5.91,16.91,7.83,1,8,6
NE-45500283,THE STELL BEACH OUTFALL 1,2012-02-06T12:05:00,9984,9.97,1.9,7.82,1,790,6
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2010-10-22T12:10:00,724,9.11,11.1,7.82,1,711,6
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2011-02-02T12:00:00,8200,13.3,4.5,7.81,1,702,6
NW-88003186,CARR BROOK AT A59 ROAD,2011-03-17T13:00:00,643,12.7,7.6,7.81,1,702,6
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2012-02-07T11:45:00,1519,12.5,3.8,7.81,1,702,6
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2012-02-07T11:30:00,615,12.4,4.8,7.81,1,624,6
NW-88003186,CARR BROOK AT A59 ROAD,2011-02-02T12:20:00,649,12.3,5.1,7.81,1,624,6
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-03-17T13:15:00,711,12.2,8,7.81,1,624,6
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2012-03-06T10:30:00,648,11.3,7.3,7.81,1,624,6
NW-88003186,CARR BROOK AT A59 ROAD,2012-03-02T13:10:00,698,11.1,8.1,7.81,1,620,6
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2010-10-22T12:33:00,13250,10.8,9.8,7.81,1,468,6
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2011-11-28T14:50:00,932,10.7,8.5,7.81,1,390,6
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2011-03-17T12:43:00,654,10.7,8.5,7.81,1,390,6
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2011-03-17T13:45:00,630,10.2,9.7,7.8,1,7.8,6
SW-70610159,RIVER TEIGN AT LOWER ESTUARY,2002-09-03T13:45:00,49200,10,17.5,7.8,1,775,6
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2011-11-28T13:30:00,930,9.54,8.5,7.8,1,770,6
SW-70610159,RIVER TEIGN AT LOWER ESTUARY,2009-07-13T14:45:00,1005,9.34,17,7.8,1,770,6
NW-88003187,LONGTON BROOK AT GRANGE LANE,2010-10-22T13:20:00,556,8.28,10.3,7.8,1,769,6
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2011-05-06T11:01:00,975,7.11,13.8,7.8,1,769,6
NW-88022688,"WALMER BROOK, HALL CARR LANE",2010-10-22T13:10:00,642,5.89,10.6,7.8,1,692,6
NW-88003186,CARR BROOK AT A59 ROAD,2011-05-06T11:25:00,1272,4.96,12.7,7.8,1,692,6
NW-88022685,THE SLUICE U/S CROSSENS PS,2010-10-22T11:15:00,812,7.68,9.3,7.8,1,700,6
NE-45500283,THE STELL BEACH OUTFALL 1,2012-01-26T12:04:00,2585,10,5.8,7.75,1,7,6
SW-81210110,CAWSAND BAY (26530),2009-06-04T10:35:00,45612,6.38,16.7,7.73,1,623,6
NW-88022685,THE SLUICE U/S CROSSENS PS,2011-08-09T09:25:00,753,5.02,16.5,7.73,1,623,6
NW-88003186,CARR BROOK AT A59 ROAD,2012-04-16T11:45:00,702,12.7,6.8,7.71,1,484,6
NW-88022688,"WALMER BROOK, HALL CARR LANE",2012-02-07T14:10:00,594,12.3,4.4,7.71,1,484,6
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2012-01-04T13:00:00,464,11.4,7,7.71,1,484,6
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2012-01-04T10:00:00,731,11.3,5.9,7.71,1,484,6
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-03-17T13:30:00,632,10.9,7.6,7.71,1,484,6
NW-88003187,LONGTON BROOK AT GRANGE LANE,2012-01-04T12:00:00,445,10.9,7,7.71,1,415,6
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-11-28T14:30:00,557,10.8,8.7,7.71,1,415,6
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-02-02T12:35:00,680,10.5,5.9,7.71,1,415,6
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-03-17T12:23:00,795,10.3,9,7.71,1,415,6
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-04-13T13:23:00,760,9.67,9.1,7.7,1,346,6
NW-88003186,CARR BROOK AT A59 ROAD,2011-11-24T14:30:00,780,8.73,10.1,7.7,1,277,6
SW-50044589,CHURCH OPE COVE (20500),2008-06-06T11:00:00,317,8.2,16.8,7.7,1,208,6
SW-E0900560,DUNSTER NORTHWEST (35100),2011-05-06T10:15:00,620,7.61,13.4,7.7,1,690,6
SO-F0017447,ALDINGBOURNE RIFE LONGBROOK ROAD,2011-08-30T10:10:00,595,7.38,12.44,7.7,1,690,6
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-11-24T13:30:00,583,7.27,10.4,7.7,1,621,6
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2011-08-31T13:20:00,33992,6.38,15,7.7,1,552,6
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-08-30T10:20:00,892,5.99,13.2,7.7,1,552,6
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-05-06T10:27:00,695,5.27,11.9,7.7,1,552,6
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2010-10-22T10:53:00,952,7.01,9.2,7.7,1,523,6
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-06-30T12:49:00,704,8.16,15.6,7.69,1,458,6
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2011-01-10T12:40:00,626,12.6,4,7.68,1,327,6
NE-49000231,ESK & TRIBS: SOURCE TO N/SEA - AD HOC,2008-11-17T12:20:00,890,7.86,8.34,7.66,1,585,6
NE-45600076,SALTBURN GILL U/S SKELTON BECK CONF,2011-02-22T11:09:00,1204,12.2,5.62,7.65,1,640,6
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-04-20T12:43:00,910,7.13,15.7,7.65,1,640,6
SW-73015012,SAUNTON SANDS (34100),2008-08-18T10:15:00,771,8.09,16.4,7.63,1,384,6
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-02-02T11:40:00,848,12,6.1,7.62,1,182,6
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-01-10T13:55:00,578,11.8,4.3,7.62,1,270,6
NW-88003186,CARR BROOK AT A59 ROAD,2011-01-10T13:15:00,560,11.7,4.3,7.62,1,670,6
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-02-02T13:00:00,579,11.5,5.7,7.61,1,630,6
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2011-03-17T11:10:00,849,11.3,7.3,7.61,1,630,6
SW-70519999,MISCELLANEOUS TIDAL EXE,2011-02-02T12:45:00,585,11.3,6.9,7.61,1,630,6
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2012-01-06T12:45:00,531,11.2,7.1,7.61,1,630,6
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2011-01-10T13:45:00,621,10.6,5.3,7.61,1,630,6
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-01-10T13:33:00,744,10.4,4.1,7.61,1,630,6
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2011-04-13T13:00:00,670,10.3,11.7,7.61,1,630,6
NW-88003186,CARR BROOK AT A59 ROAD,2012-01-09T13:00:00,557,9.86,8.3,7.61,1,630,6
NW-88003186,CARR BROOK AT A59 ROAD,2011-11-11T14:00:00,723,9.37,10.5,7.6,1,630,6
NW-88022685,THE SLUICE U/S CROSSENS PS,2011-11-28T13:45:00,757,9.15,8.4,7.6,1,630,6
NW-88022685,THE SLUICE U/S CROSSENS PS,2011-03-17T11:30:00,689,9.15,7.8,7.6,1,567,6
NW-88022685,THE SLUICE U/S CROSSENS PS,2012-03-02T11:50:00,768,7.75,9.5,7.6,1,567,6
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2011-10-05T12:50:00,666,7.08,16.4,7.6,1,504,6
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-11-24T14:05:00,728,6.35,10.4,7.6,1,441,6
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-08-08T13:00:00,485,6.33,14.8,7.6,1,378,6
NW-88022688,"WALMER BROOK, HALL CARR LANE",2011-10-05T13:00:00,650,6.1,15.4,7.6,1,315,6
SW-C2710000,HIGHCLIFFE CASTLE (18700),2008-07-24T13:10:00,18856,4.91,21.18,7.6,1,492,6
NW-88002884,RIVER ALT ABOVE ALTMOUTH PUMPING STATION,2010-10-13T14:30:00,904,6.7,10.8,7.57,1,429,6
NE-45600076,SALTBURN GILL U/S SKELTON BECK CONF,2011-01-11T10:25:00,671,13.5,4.57,7.57,1,610,6
SO-Y0004456,BEMBRIDGE (NEW) (18200),2007-07-03T13:20:00,594,6.02,15.15,7.56,1,549,6
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-01-10T12:25:00,668,12.3,4.7,7.52,1,120,6
SW-73119999,MISCELLANEOUS N. DEVON COASTAL STREAMS,2012-02-07T13:00:00,571,12.3,3.7,7.52,1,18,6
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2012-02-07T14:00:00,587,11.7,5.4,7.51,1,6,6
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2011-02-02T10:30:00,962,11.2,3.6,7.51,1,6,6
NW-88022685,THE SLUICE U/S CROSSENS PS,2011-02-02T10:55:00,800,10.8,4.1,7.51,1,6,6
NW-88003187,LONGTON BROOK AT GRANGE LANE,2012-02-07T13:50:00,560,10.8,3.6,7.51,1,6,6
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2012-01-06T14:25:00,511,10.8,7.4,7.51,1,6,6
NW-88022688,"WALMER BROOK, HALL CARR LANE",2012-04-16T12:05:00,756,10.7,7.3,7.51,1,6,6
NW-88022687,RIVER DOUGLAS @ BECCONSALL LANE,2010-11-10T13:25:00,731,10.6,7.2,7.51,1,6,6
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2010-11-10T13:05:00,518,10.6,7.8,7.51,1,6,6
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2012-04-16T10:15:00,717,10.3,8.5,7.51,1,6,6
NW-88022685,THE SLUICE U/S CROSSENS PS,2012-02-07T10:30:00,783,9.26,3.6,7.5,1,6,6
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2011-11-01T12:15:00,901,8.43,12.7,7.5,1,6,6
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2011-11-24T13:45:00,612,8.19,12.3,7.5,1,6,6
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2011-06-30T12:39:00,626,7.24,16.8,7.5,1,6,6
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2011-08-08T12:50:00,521,6.09,16,7.5,1,6,6
NE-45500285,STELL OFF SEATON LANE (B1276) TRIB 2,2012-01-26T10:47:00,1245,3.55,1,7.44,1,522,6
NW-88022685,THE SLUICE U/S CROSSENS PS,2012-01-04T10:30:00,607,10.3,6.1,7.41,1,464,6
NW-88003187,LONGTON BROOK AT GRANGE LANE,2010-11-10T14:10:00,425,10.1,7.3,7.41,1,464,6
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2012-02-07T10:05:00,1059,9.89,2.2,7.4,1,464,6
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2010-11-10T14:00:00,445,9.53,7.7,7.4,1,464,6
NW-88003186,CARR BROOK AT A59 ROAD,2010-11-10T13:40:00,434,9.29,7.2,7.4,1,464,6
SW-72815051,HARTLAND QUAY BEACH (33800),2008-05-28T10:00:00,538,8.6,12,7.4,1,406,6
NE-45600190,SKELTON BK DS RD BR BY BEACH,2011-01-11T10:33:00,631,13.7,4.42,7.4,1,462,6
NW-88003186,CARR BROOK AT A59 ROAD,2011-10-06T11:00:00,602.9,8.23,11.7,7.39,1,404,6
NE-45500285,STELL OFF SEATON LANE (B1276) TRIB 2,2012-02-06T11:00:00,20598,2.1,6.3,7.38,1,404,6
NE-45500285,STELL OFF SEATON LANE (B1276) TRIB 2,2012-02-01T11:11:00,7314,1.09,6.9,7.37,1,404,6
NW-88022688,"WALMER BROOK, HALL CARR LANE",2010-11-10T13:55:00,516,8.72,7.6,7.36,1,346,6
NW-88003187,LONGTON BROOK AT GRANGE LANE,2011-10-05T12:40:00,888,4.22,14.7,7.35,1,231,6
NW-88003187,LONGTON BROOK AT GRANGE LANE,2012-04-16T12:30:00,683,12.5,6.7,7.31,1,570,6
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2011-01-10T10:30:00,873,11.2,3,7.31,1,570,6
NW-88022685,THE SLUICE U/S CROSSENS PS,2011-01-10T11:30:00,678,10.4,3,7.31,1,570,6
NW-88022686,RIVER DOUGLAS U/S RUFFORD BRIDGE,2011-10-31T10:05:00,568,9.34,12.7,7.3,1,513,6
NW-88003076,TARRA CARR GUTTER AT HALL CARR LANE,2012-04-16T12:15:00,717,9.13,10.5,7.3,1,456,6
SW-73115120,ILFRACOMBE WILDERSMOUTH BEACH (34500),2010-09-16T10:30:00,592,4.7,15.7,7.3,1,399,6
NW-88003186,CARR BROOK AT A59 ROAD,2010-09-16T10:45:00,565,4.14,13.2,7.28,1,392,6
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2010-09-16T10:49:00,739,6.86,13.24,7.27,1,280,6
SW-E8900900,WESTON UPHILL SLIPWY (35700),2011-06-20T11:30:00,643,7.26,17.2,7.2,1,495,6
NW-88022685,THE SLUICE U/S CROSSENS PS,2011-11-01T12:45:00,732,5.97,12.6,7.2,1,450,6
SW-50370220,STOUR AT CONIFER CLOSE,2010-09-16T10:00:00,518,4.41,14.99,7.18,1,90,6
NW-88022684,THREE POOLS WATERWAY AT WATER LANE,2010-11-10T12:25:00,763,8.26,6.9,7.15,1,540,6
NE-45600179,SKELTON BK 3M U/S SALTBURN GILL CONF,2011-01-11T10:21:00,617,13.3,4.36,7.11,1,486,6
SO-G0003588,CALSHOT (16900),2007-07-31T12:05:00,46200,7.7,16.8,7.1,1,486,6
SW-81020847,PIALL AT ALMSHOUSE BRIDGE,2012-02-06T11:10:00,107,12,6.8,7,1,538,6
NW-88003594,RIBBLE ESTUARY AT 10TH MILE POST,2007-08-15T12:46:00,44500,7.6,17.6,8.025,1,856,6
NW-88003594,RIBBLE ESTUARY AT 10TH MILE POST,2008-07-03T11:11:00,44900,8,16.6,8,1,856,6
